"country","vaccine","birth_cohort","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"All","MCV-D2",2009,2,"(0, 4)",7.1,"(26.25)","(-35, 161)",-31,-25.1,-1,0,2,4,9.3,54.1,124.1
"All","MCV-D2",2010,3,"(1, 14)",10.6,"(25.97)","(-77, 137)",-39,-25,0,1,3,14,25.5,66,106.4
"All","MCV-D2",2011,3,"(1, 6)",5.3,"(15.84)","(-66, 98)",-38,-18,0,1,3,6,13,32,63
"All","MCV-D2",2012,3,"(0.25, 8)",3.4,"(15.36)","(-71, 87)",-48.5,-26.5,-1,0.2,3,8,13,27.5,45.5
"All","MCV-D2",2013,4,"(-1, 19)",6.1,"(21.76)","(-68, 89)",-38,-26,-20,-1,4,19,27,44,70
"All","MCV-D2",2014,4,"(2, 11)",7.9,"(15.73)","(-71, 88)",-38,-3,1,2,4,11,25,33,58
"All","MCV-D2",2015,3.5,"(1, 7)",5.3,"(12.83)","(-68, 80)",-27,-11,0,1,3.5,7,10,27,56
"All","MCV-D2",2016,6,"(2, 12)",6.7,"(17.06)","(-71, 89)",-47,-24,-1,2,6,12,17,33,63.7
"All","MCV-D2",2017,6,"(2, 13)",7.4,"(16.98)","(-70, 85)",-51,-23,-1,2,6,13,19,37,58
"All","MCV-D2",2018,6,"(2, 13)",6.6,"(16.73)","(-70, 84)",-52,-26,0,2,6,13,17,32,55
"All","MCV-D2",2019,3,"(1, 7)",4.2,"(14.9)","(-68, 98)",-42.5,-24,0,1,3,7,12,27,55
"All","MCV-D2",2020,3,"(0, 5.25)",3.9,"(9.93)","(-38, 71)",-27.7,-5.2,-1,0,3,5.2,8.8,18.2,39.9
"All","MCV-D2",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","MCV-D2",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","HepB-BD",2006,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","HepB-BD",2007,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","HepB-BD",2008,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","HepB-BD",2009,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","HepB-BD",2010,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","HepB-BD",2011,2,"(-0.5, 7)",12.1,"(33.32)","(-2, 146)",-1.8,-1.1,-1,-0.5,2,7,17.5,36.2,124
