"Vaccine","Characteristic","Levels","Data Available (n)","Data Not Available (n)","Data Available (%)","Data Not Availanle (%)","Chi2","Flag 5%","Flag 10%","Flag 20%"
"IPV-D1","Residence","City","0","1408","NaN","16.47","NaN",NA,NA,NA
"","","Town","0","2501","NaN","29.25","",NA,NA,NA
"","","Countryside","0","4640","NaN","54.28","",NA,NA,NA
"IPV-D1","Wealth Quintile","Poorest","32790","161538","26.66","26.02","5.340431190444e-13","","",""
"","","Poor","26324","138739","21.41","22.35","","","",""
"","","Middle","24305","122238","19.76","19.69","","","",""
"","","Rich","21408","108378","17.41","17.46","","","",""
"","","Richest","18145","89829","14.76","14.47","","","",""
"IPV-D1","Mother's Education","None","44401","160261","36.11","26.48","0","*","",""
"","","Primary","34254","147620","27.86","24.39","","","",""
"","","Secondary","34717","237494","28.23","39.24","","*","**",""
"","","Higher","9600","59931","7.81","9.9","","","",""
"IPV-D1","Mother's Marital Status","Not married","7189","18721","5.85","3.07","0","","",""
"","","Married/Living together","110083","563489","89.52","92.36","","","",""
"","","Widowed/Divorced/Not living together","5700","27867","4.64","4.57","","","",""
"IPV-D1","Husband's Education","None","36543","88104","35.43","24.41","0","*","**",""
"","","Primary","24419","96992","23.67","26.87","","","",""
"","","Secondary","29608","138996","28.71","38.51","","*","",""
"","","Higher","12575","36860","12.19","10.21","","","",""
"IPV-D1","Husband's Occupation","No work","6600","15898","6.31","4.37","0","","",""
"","","Prof/Manager/Clerical/Sales","26507","77435","25.35","21.28","","","",""
"","","Agricultural","35738","131990","34.18","36.27","","","",""
"","","Household/Services","8804","53649","8.42","14.74","","*","",""
"","","Manual work","26895","84949","25.73","23.34","","","",""
"IPV-D2","Sex at birth","Male","5142","374051","52.17","50.97","0.0190030048537857","","",""
"","","Female","4715","359786","47.83","49.03","","","",""
"IPV-D2","Health Card","No card","1126","55183","11.42","11.26","1.74435073745114e-15","","",""
"","","Yes - Seen","6563","328293","66.58","66.97","","","",""
"","","Yes - Not Seen","1199","66863","12.16","13.64","","","",""
"","","Lost","969","39032","9.83","7.96","","","",""
"","","Other","0","855","0","0.17","","","",""
"IPV-D2","Urban/Rural","Urban","3480","220067","35.3","29.99","3.17805841014114e-30","*","",""
"","","Rural","6377","513770","64.7","70.01","","*","",""
"IPV-D2","Residence","City","0","1408","NaN","16.47","NaN",NA,NA,NA
"","","Town","0","2501","NaN","29.25","",NA,NA,NA
"","","Countryside","0","4640","NaN","54.28","",NA,NA,NA
"IPV-D2","Wealth Quintile","Poorest","2756","191572","27.96","26.11","2.91433906210697e-12","","",""
"","","Poor","2122","162941","21.53","22.2","","","",""
"","","Middle","1753","144790","17.78","19.73","","","",""
"","","Rich","1623","128163","16.47","17.46","","","",""
"","","Richest","1603","106371","16.26","14.5","","","",""
"IPV-D2","Mother's Education","None","392","204270","3.98","28.43","0","*","**","***"
"","","Primary","2060","179814","20.9","25.03","","","",""
"","","Secondary","4828","267383","48.98","37.22","","*","**",""
"","","Higher","2577","66954","26.14","9.32","","*","**",""
"IPV-D2","Mother's Marital Status","Not married","206","25704","2.09","3.55","1.66196732367371e-56","","",""
"","","Married/Living together","9481","664091","96.19","91.83","","","",""
"","","Widowed/Divorced/Not living together","170","33397","1.72","4.62","","","",""
"IPV-D2","Husband's Education","None","783","123864","8.27","27.25","0","*","**",""
"","","Primary","2312","119099","24.42","26.2","","","",""
"","","Secondary","3913","164691","41.33","36.23","","*","",""
"","","Higher","2460","46975","25.98","10.33","","*","**",""
"IPV-D2","Husband's Occupation","No work","303","22195","3.19","4.84","0","","",""
"","","Prof/Manager/Clerical/Sales","2295","101647","24.18","22.15","","","",""
"","","Agricultural","2127","165601","22.41","36.08","","*","**",""
"","","Household/Services","1000","61453","10.53","13.39","","","",""
"","","Manual work","3768","108076","39.69","23.55","","*","**",""
"MCV-D1","Sex at birth","Male","238350","140843","50.96","51.04","0.521245674526007","","",""
"","","Female","229378","135123","49.04","48.96","","","",""
"MCV-D1","Health Card","No card","55566","743","11.89","2.26","0","*","",""
"","","Yes - Seen","305533","29323","65.39","89.38","","*","**","***"
"","","Yes - Not Seen","66312","1750","14.19","5.33","","*","",""
"","","Lost","39028","973","8.35","2.97","","*","",""
"","","Other","837","18","0.18","0.05","","","",""
"MCV-D1","Urban/Rural","Urban","144162","79385","30.82","28.77","8.05360159402865e-78","","",""
"","","Rural","323566","196581","69.18","71.23","","","",""
"MCV-D1","Residence","City","1306","102","16.61","14.91","0.111821384718985","","",""
"","","Town","2278","223","28.96","32.6","","","",""
"","","Countryside","4281","359","54.43","52.49","","","",""
"MCV-D1","Wealth Quintile","Poorest","121864","72464","26.05","26.26","0.00338022065286191","","",""
"","","Poor","103528","61535","22.13","22.3","","","",""
"","","Middle","92135","54408","19.7","19.72","","","",""
"","","Rich","81793","47993","17.49","17.39","","","",""
"","","Richest","68408","39566","14.63","14.34","","","",""
"MCV-D1","Mother's Education","None","125010","79652","27.63","28.88","0","","",""
"","","Primary","120350","61524","26.6","22.3","","","",""
"","","Secondary","165113","107098","36.49","38.83","","","",""
"","","Higher","41966","27565","9.28","9.99","","","",""
"MCV-D1","Mother's Marital Status","Not married","19859","6051","4.25","2.28","0","","",""
"","","Married/Living together","426236","247336","91.13","93.22","","","",""
"","","Widowed/Divorced/Not living together","21633","11934","4.63","4.5","","","",""
"MCV-D1","Husband's Education","None","84805","39842","26.27","28.2","3.74368964437869e-73","","",""
"","","Primary","84873","36538","26.29","25.86","","","",""
"","","Secondary","119517","49087","37.02","34.75","","","",""
"","","Higher","33626","15809","10.42","11.19","","","",""
"MCV-D1","Husband's Occupation","No work","13822","8676","4.22","6.15","0","","",""
"","","Prof/Manager/Clerical/Sales","73789","30153","22.54","21.36","","","",""
"","","Agricultural","119322","48406","36.45","34.3","","","",""
"","","Household/Services","39170","23283","11.97","16.5","","","",""
"","","Manual work","81222","30622","24.81","21.7","","","",""
"MCV-D2","Sex at birth","Male","146008","233185","51.27","50.81","0.000114042338273182","","",""
"","","Female","138764","225737","48.73","49.19","","","",""
"MCV-D2","Health Card","No card","20575","35734","7.23","16.6","0","*","",""
"","","Yes - Seen","215097","119759","75.53","55.62","","*","**",""
"","","Yes - Not Seen","26789","41273","9.41","19.17","","*","",""
"","","Lost","21477","18524","7.54","8.6","","","",""
"","","Other","831","24","0.29","0.01","","","",""
"MCV-D2","Urban/Rural","Urban","79986","143561","28.09","31.28","1.7659993258692e-187","","",""
"","","Rural","204786","315361","71.91","68.72","","","",""
"MCV-D2","Residence","City","105","1303","12.93","16.84","0.00953341323922625","","",""
"","","Town","235","2266","28.94","29.29","","","",""
"","","Countryside","472","4168","58.13","53.87","","","",""
"MCV-D2","Wealth Quintile","Poorest","74241","120087","26.07","26.17","0.0169752570004534","","",""
"","","Poor","63673","101390","22.36","22.09","","","",""
"","","Middle","56292","90251","19.77","19.67","","","",""
"","","Rich","49328","80458","17.32","17.53","","","",""
"","","Richest","41238","66736","14.48","14.54","","","",""
"MCV-D2","Mother's Education","None","70094","134568","24.61","30.34","0","*","",""
"","","Primary","60031","121843","21.08","27.47","","*","",""
"","","Secondary","120125","152086","42.18","34.29","","*","",""
"","","Higher","34521","35010","12.12","7.89","","","",""
"MCV-D2","Mother's Marital Status","Not married","8491","17419","2.98","3.89","0","","",""
"","","Married/Living together","267781","405791","94.03","90.52","","","",""
"","","Widowed/Divorced/Not living together","8500","25067","2.98","5.59","","","",""
"MCV-D2","Husband's Education","None","36256","88391","23.68","28.42","0","","",""
"","","Primary","37486","83925","24.48","26.99","","","",""
"","","Secondary","59256","109348","38.7","35.16","","","",""
"","","Higher","20136","29299","13.15","9.42","","","",""
"MCV-D2","Husband's Occupation","No work","7587","14911","4.98","4.72","0","","",""
"","","Prof/Manager/Clerical/Sales","33713","70229","22.14","22.21","","","",""
"","","Agricultural","44571","123157","29.27","38.95","","*","",""
"","","Household/Services","24563","37890","16.13","11.98","","","",""
"","","Manual work","41848","69996","27.48","22.14","","*","",""
"HepB-BD","Sex at birth","Male","110889","268304","51.31","50.85","0.000306916060034819","","",""
"","","Female","105206","259295","48.69","49.15","","","",""
"HepB-BD","Health Card","No card","16732","39577","7.74","13.94","0","*","",""
"","","Yes - Seen","163984","170872","75.89","60.16","","*","**",""
"","","Yes - Not Seen","19885","48177","9.2","16.96","","*","",""
"","","Lost","15475","24526","7.16","8.64","","","",""
"","","Other","0","855","0","0.3","","","",""
"HepB-BD","Urban/Rural","Urban","57219","166328","26.48","31.53","0","*","",""
"","","Rural","158876","361271","73.52","68.47","","*","",""
"HepB-BD","Residence","City","0","1408","NaN","16.47","NaN",NA,NA,NA
"","","Town","0","2501","NaN","29.25","",NA,NA,NA
"","","Countryside","0","4640","NaN","54.28","",NA,NA,NA
"HepB-BD","Wealth Quintile","Poorest","56493","137835","26.14","26.12","3.31784379969851e-36","","",""
"","","Poor","49419","115644","22.87","21.92","","","",""
"","","Middle","43178","103365","19.98","19.59","","","",""
"","","Rich","36921","92865","17.09","17.6","","","",""
"","","Richest","30084","77890","13.92","14.76","","","",""
"HepB-BD","Mother's Education","None","52163","152499","24.14","29.77","0","*","",""
"","","Primary","37996","143878","17.58","28.09","","*","**",""
"","","Secondary","98670","173541","45.66","33.88","","*","**",""
"","","Higher","27265","42266","12.62","8.25","","","",""
"HepB-BD","Mother's Marital Status","Not married","3683","22227","1.7","4.3","0","","",""
"","","Married/Living together","207836","465736","96.18","90.09","","*","",""
"","","Widowed/Divorced/Not living together","4576","28991","2.12","5.61","","","",""
"HepB-BD","Husband's Education","None","24304","100343","25.54","27.2","0","","",""
"","","Primary","19148","102263","20.12","27.72","","*","",""
"","","Secondary","39018","129586","41","35.12","","*","",""
"","","Higher","12689","36746","13.33","9.96","","","",""
