"Vaccine","Characteristic","Levels","Date Available (n)","Date Not Available (n)","Date Available (%)","Date Not Availanle (%)","Chi2","Flag 5%","Flag 10%","Flag 20%"
"IPV-D2","Husband's Occupation","No work","1","24","2.17","5.01","0.121654272666799","","",""
"","","Prof/Manager/Clerical/Sales","16","107","34.78","22.34","","*","**",""
"","","Agricultural","8","117","17.39","24.43","","*","",""
"","","Household/Services","6","33","13.04","6.89","","*","",""
"","","Manual work","15","198","32.61","41.34","","*","",""
"MCV-D1","Sex at birth","Male","93499","53586","51.15","50.96","0.32659959510589","","",""
"","","Female","89284","51562","48.85","49.04","","","",""
"MCV-D1","Health Card","No card","13","12837","0.01","12.22","0","*","**",""
"","","Yes - Seen","182428","17797","99.81","16.94","","*","**","***"
"","","Yes - Not Seen","24","46155","0.01","43.93","","*","**","***"
"","","Lost","19","28053","0.01","26.7","","*","**","***"
"","","Other","299","214","0.16","0.2","","","",""
"MCV-D1","Urban/Rural","Urban","56567","35865","30.95","34.11","1.68212686023802e-68","","",""
"","","Rural","126216","69283","69.05","65.89","","","",""
"MCV-D1","Residence","City","626","300","15.83","18.16","0.0254009385978378","","",""
"","","Town","1119","489","28.29","29.6","","","",""
"","","Countryside","2210","863","55.88","52.24","","","",""
"MCV-D1","Wealth Quintile","Poorest","43262","25365","23.67","24.12","7.19690464597082e-22","","",""
"","","Poor","39941","22049","21.85","20.97","","","",""
"","","Middle","37023","20436","20.26","19.44","","","",""
"","","Rich","33386","19324","18.27","18.38","","","",""
"","","Richest","29171","17974","15.96","17.09","","","",""
"MCV-D1","Mother's Education","None","38167","27115","21.3","26.98","1.08733967336742e-319","*","",""
"","","Primary","47736","27561","26.64","27.42","","","",""
"","","Secondary","73250","36555","40.87","36.37","","","",""
"","","Higher","20054","9269","11.19","9.22","","","",""
"MCV-D1","Mother's Marital Status","Not married","6614","4822","3.62","4.59","1.8663121108264e-152","","",""
"","","Married/Living together","168241","93763","92.04","89.17","","","",""
"","","Widowed/Divorced/Not living together","7928","6563","4.34","6.24","","","",""
"MCV-D1","Husband's Education","None","23916","19084","20.46","23.98","5.10040942924419e-178","","",""
"","","Primary","34480","19130","29.5","24.04","","*","",""
"","","Secondary","45167","32116","38.65","40.36","","","",""
"","","Higher","13310","9238","11.39","11.61","","","",""
"MCV-D1","Husband's Occupation","No work","4280","2965","3.73","3.62","1.29043590522988e-165","","",""
"","","Prof/Manager/Clerical/Sales","24812","21078","21.61","25.72","","","",""
"","","Agricultural","38727","28599","33.73","34.9","","","",""
"","","Household/Services","15914","9031","13.86","11.02","","","",""
"","","Manual work","31089","20276","27.08","24.74","","","",""
"MCV-D2","Sex at birth","Male","30516","14848","51.66","51.62","0.911742667623505","","",""
"","","Female","28552","13916","48.34","48.38","","","",""
"MCV-D2","Health Card","No card","0","1760","0","6.12","0","*","",""
"","","Yes - Seen","59056","9497","99.98","33.02","","*","**","***"
"","","Yes - Not Seen","1","9915","0","34.47","","*","**","***"
"","","Lost","0","7492","0","26.05","","*","**","***"
"","","Other","11","100","0.02","0.35","","","",""
"MCV-D2","Urban/Rural","Urban","16307","10028","27.61","34.86","1.95857336582437e-107","*","",""
"","","Rural","42761","18736","72.39","65.14","","*","",""
"MCV-D2","Residence","City","19","22","10.61","16.3","0.333799058600457","*","",""
"","","Town","46","32","25.7","23.7","","","",""
"","","Countryside","114","81","63.69","60","","","",""
"MCV-D2","Wealth Quintile","Poorest","13827","6419","23.41","22.32","4.83991518359241e-26","","",""
"","","Poor","13082","5929","22.15","20.61","","","",""
"","","Middle","12041","5718","20.38","19.88","","","",""
"","","Rich","10904","5414","18.46","18.82","","","",""
"","","Richest","9214","5284","15.6","18.37","","","",""
"MCV-D2","Mother's Education","None","11837","6391","20.04","22.22","1.77490091307305e-41","","",""
"","","Primary","11082","6139","18.76","21.34","","","",""
"","","Secondary","27691","12237","46.88","42.54","","","",""
"","","Higher","8458","3997","14.32","13.9","","","",""
"MCV-D2","Mother's Marital Status","Not married","1379","1008","2.33","3.5","5.51035755182418e-65","","",""
"","","Married/Living together","56305","26608","95.32","92.5","","","",""
"","","Widowed/Divorced/Not living together","1384","1148","2.34","3.99","","","",""
"MCV-D2","Husband's Education","None","6229","3425","21.38","17.42","2.8178975973477e-32","","",""
"","","Primary","6861","4504","23.55","22.9","","","",""
"","","Secondary","11871","8477","40.75","43.11","","","",""
"","","Higher","4173","3258","14.32","16.57","","","",""
"MCV-D2","Husband's Occupation","No work","1201","837","4.13","4.29","1.62187160727923e-138","","",""
"","","Prof/Manager/Clerical/Sales","6251","5139","21.49","26.36","","","",""
"","","Agricultural","7937","4443","27.28","22.79","","","",""
"","","Household/Services","5601","2483","19.25","12.74","","*","",""
"","","Manual work","8104","6591","27.85","33.81","","*","",""
"HepB-BD","Sex at birth","Male","52873","17428","51.41","51.34","0.827907921649907","","",""
"","","Female","49963","16515","48.59","48.66","","","",""
"HepB-BD","Health Card","No card","0","2641","0","7.78","0","*","",""
"","","Yes - Seen","102828","9357","99.99","27.57","","*","**","***"
"","","Yes - Not Seen","8","11725","0.01","34.54","","*","**","***"
"","","Lost","0","10219","0","30.11","","*","**","***"
"HepB-BD","Urban/Rural","Urban","27630","12446","26.87","36.67","3.83265804011599e-259","*","",""
"","","Rural","75206","21497","73.13","63.33","","*","",""
"HepB-BD","Wealth Quintile","Poorest","23512","7607","22.86","22.41","0.000376868404646884","","",""
"","","Poor","22619","7261","22","21.39","","","",""
"","","Middle","21305","7077","20.72","20.85","","","",""
"","","Rich","19245","6350","18.71","18.71","","","",""
"","","Richest","16155","5648","15.71","16.64","","","",""
"HepB-BD","Mother's Education","None","18887","7383","18.37","21.75","1.14616985005722e-249","","",""
"","","Primary","14657","6963","14.25","20.51","","*","",""
"","","Secondary","53529","15028","52.05","44.27","","*","",""
"","","Higher","15762","4569","15.33","13.46","","","",""
"HepB-BD","Mother's Marital Status","Not married","860","863","0.84","2.54","3.38786119257234e-248","","",""
"","","Married/Living together","100584","31968","97.81","94.18","","","",""
"","","Widowed/Divorced/Not living together","1392","1112","1.35","3.28","","","",""
"HepB-BD","Husband's Education","None","7034","3858","18.5","20.11","6.06455709057036e-33","","",""
"","","Primary","5870","3606","15.44","18.8","","","",""
"","","Secondary","18499","8617","48.66","44.92","","","",""
"","","Higher","6615","3103","17.4","16.17","","","",""
"HepB-BD","Husband's Occupation","No work","1148","942","3.02","4.9","1.10307240667262e-218","","",""
"","","Prof/Manager/Clerical/Sales","9455","5597","24.84","29.08","","","",""
"","","Agricultural","8946","5729","23.5","29.77","","*","",""
"","","Household/Services","10525","3297","27.65","17.13","","*","**",""
